sportsbook,displayGroupId,sport,eventGroupName,eventGroupId,nameIdentifier,eventId,providerOfferId,startDate,teamName1,teamName2,teamShortName1,teamShortName2,betType,betName,label,line,oddsAmerican,timestamp,isSuspended,isOpen
DraftKings,7,Baseball,MLB,84240,ARI Diamondbacks @ ATL Braves,30394396,3_74749496,2024-04-05T23:20:00.0000000Z,ARI Diamondbacks,ATL Braves,ARI,ATL,Total,Under +8.5,Under,+8.5,+100,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,ARI Diamondbacks @ ATL Braves,30394396,1_74749496,2024-04-05T23:20:00.0000000Z,ARI Diamondbacks,ATL Braves,ARI,ATL,Moneyline,ATL Braves Win,ATL Braves,Win,-265,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,ARI Diamondbacks @ ATL Braves,30394396,1_74749496,2024-04-05T23:20:00.0000000Z,ARI Diamondbacks,ATL Braves,ARI,ATL,Moneyline,ARI Diamondbacks Win,ARI Diamondbacks,Win,+215,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,ARI Diamondbacks @ ATL Braves,30394396,3_74749496,2024-04-05T23:20:00.0000000Z,ARI Diamondbacks,ATL Braves,ARI,ATL,Total,Over +8.5,Over,+8.5,-120,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BAL Orioles @ PIT Pirates,30394398,1_74749499,2024-04-05T20:12:00.0000000Z,BAL Orioles,PIT Pirates,BAL,PIT,Moneyline,PIT Pirates Win,PIT Pirates,Win,+114,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BAL Orioles @ PIT Pirates,30394398,1_74749499,2024-04-05T20:12:00.0000000Z,BAL Orioles,PIT Pirates,BAL,PIT,Moneyline,BAL Orioles Win,BAL Orioles,Win,-135,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BAL Orioles @ PIT Pirates,30394398,3_74749499,2024-04-05T20:12:00.0000000Z,BAL Orioles,PIT Pirates,BAL,PIT,Total,Under +8.5,Under,+8.5,-120,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BAL Orioles @ PIT Pirates,30394398,3_74749499,2024-04-05T20:12:00.0000000Z,BAL Orioles,PIT Pirates,BAL,PIT,Total,Over +8.5,Over,+8.5,+100,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BOS Red Sox @ LA Angels,30394400,1_74749501,2024-04-06T01:38:00.0000000Z,BOS Red Sox,LA Angels,BOS,LAA,Moneyline,BOS Red Sox Win,BOS Red Sox,Win,-112,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BOS Red Sox @ LA Angels,30394400,3_74749501,2024-04-06T01:38:00.0000000Z,BOS Red Sox,LA Angels,BOS,LAA,Total,Under +9.0,Under,+9.0,-120,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BOS Red Sox @ LA Angels,30394400,3_74749501,2024-04-06T01:38:00.0000000Z,BOS Red Sox,LA Angels,BOS,LAA,Total,Over +9.0,Over,+9.0,+100,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
DraftKings,7,Baseball,MLB,84240,BOS Red Sox @ LA Angels,30394400,1_74749501,2024-04-06T01:38:00.0000000Z,BOS Red Sox,LA Angels,BOS,LAA,Moneyline,LA Angels Win,LA Angels,Win,-108,"Thu, 04 Apr 2024 19:25:19 GMT",False,True
